-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-4.25E-05,-2.68E-05,-1.16E-05,3.26E-06,1.77E-05,3.17E-05,4.55E-05,5.88E-05,7.19E-05,8.47E-05,9.72E-05,0.000109408,0.000121389,0.000133134,0.000144655,0.000155965,0.000167074,0.000177993,0.000188731,0.000199298,0.0002097,0.000219946,0.000230042,0.000239994,0.000249808,0.000259487
6,-3.91E-05,-2.35E-05,-8.37E-06,6.36E-06,2.07E-05,3.47E-05,4.83E-05,6.16E-05,7.46E-05,8.73E-05,9.97E-05,0.000111832,0.000123732,0.000135398,0.000146841,0.000158074,0.000169107,0.000179951,0.000190614,0.000201107,0.000211436,0.00022161,0.000231635,0.000241516,0.000251259,0.000260869
7,-3.57E-05,-2.02E-05,-5.19E-06,9.45E-06,2.37E-05,3.76E-05,5.11E-05,6.43E-05,7.72E-05,8.98E-05,0.000102173,0.000114242,0.000126063,0.00013765,0.000149016,0.000160172,0.000171129,0.000181898,0.000192487,0.000202906,0.000213163,0.000223265,0.000233218,0.000243028,0.000252702,0.000262242
8,-3.24E-05,-1.70E-05,-2.03E-06,1.25E-05,2.67E-05,4.05E-05,5.39E-05,6.71E-05,7.99E-05,9.24E-05,0.000104652,0.00011664,0.000128382,0.000139891,0.000151179,0.000162258,0.00017314,0.000183834,0.000194349,0.000204695,0.00021488,0.00022491,0.000234792,0.000244532,0.000254136,0.000263607
9,-2.90E-05,-1.37E-05,1.12E-06,1.56E-05,2.97E-05,4.34E-05,5.67E-05,6.98E-05,8.25E-05,9.49E-05,0.000107117,0.000119026,0.000130689,0.00014212,0.000153331,0.000164334,0.00017514,0.00018576,0.000196202,0.000206475,0.000216587,0.000226545,0.000236357,0.000246027,0.000255561,0.000264964
10,-2.57E-05,-1.05E-05,4.25E-06,1.86E-05,3.26E-05,4.62E-05,5.95E-05,7.25E-05,8.51E-05,9.75E-05,0.00010957,0.000121399,0.000132983,0.000144337,0.000155471,0.000166399,0.00017713,0.000187675,0.000198044,0.000208244,0.000218285,0.000228172,0.000237913,0.000247513,0.000256978,0.000266312
11,-2.24E-05,-7.32E-06,7.37E-06,2.16E-05,3.55E-05,4.91E-05,6.23E-05,7.52E-05,8.77E-05,0.000100003,0.000112011,0.00012376,0.000135266,0.000146542,0.0001576,0.000168452,0.000179109,0.00018958,0.000199876,0.000210004,0.000219973,0.000229789,0.00023946,0.000248991,0.000258387,0.000267652
12,-1.91E-05,-4.13E-06,1.05E-05,2.47E-05,3.85E-05,5.19E-05,6.50E-05,7.78E-05,9.03E-05,0.000102511,0.000114439,0.000126109,0.000137537,0.000148736,0.000159718,0.000170495,0.000181077,0.000191475,0.000201698,0.000211754,0.000221652,0.000231398,0.000240998,0.00025046,0.000259787,0.000268984
13,-1.59E-05,-9.51E-07,1.36E-05,2.77E-05,4.14E-05,5.48E-05,6.78E-05,8.05E-05,9.29E-05,0.000105007,0.000116854,0.000128446,0.000139797,0.000150919,0.000161825,0.000172527,0.000183035,0.00019336,0.00020351,0.000213495,0.000223321,0.000232997,0.000242528,0.00025192,0.000261179,0.000270309
14,-1.26E-05,2.21E-06,1.66E-05,3.06E-05,4.43E-05,5.76E-05,7.05E-05,8.31E-05,9.55E-05,0.00010749,0.000119258,0.000130772,0.000142045,0.000153091,0.000163921,0.000174549,0.000184983,0.000195235,0.000205313,0.000215226,0.000224982,0.000234587,0.000244049,0.000253373,0.000262563,0.000271625
