-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,1003.918208,1003.958169,1003.981229,1003.987926,1003.978774,1003.954262,1003.914856,1003.860999,1003.793115,1003.711605,1003.61685,1003.509213,1003.389038,1003.256652,1003.112364,1002.956468,1002.789242,1002.61095,1002.421843,1002.222157,1002.012118,1001.79194,1001.561826,1001.321969,1001.072555,1000.81376
6,1004.727871,1004.764172,1004.783708,1004.787014,1004.774596,1004.746941,1004.70451,1004.647743,1004.577058,1004.492853,1004.395504,1004.285372,1004.162797,1004.028102,1003.881592,1003.723559,1003.554278,1003.37401,1003.183002,1002.981488,1002.769692,1002.547825,1002.316088,1002.074672,1001.82376,1001.563527
7,1005.536745,1005.569417,1005.585459,1005.585401,1005.569746,1005.538975,1005.493545,1005.433892,1005.36043,1005.273552,1005.173632,1005.061026,1004.93607,1004.799084,1004.650371,1004.490218,1004.318897,1004.136667,1003.943771,1003.740443,1003.526901,1003.303356,1003.070005,1002.827039,1002.574637,1002.312972
8,1006.344961,1006.374031,1006.386607,1006.383212,1006.364346,1006.330484,1006.282079,1006.219563,1006.143345,1006.053816,1005.951345,1005.836283,1005.708965,1005.569705,1005.418805,1005.256547,1005.083201,1004.899022,1004.704253,1004.499121,1004.283845,1004.058631,1003.823675,1003.579166,1003.32528,1003.06219
9,1007.152623,1007.17812,1007.187255,1007.180548,1007.158494,1007.121564,1007.070207,1007.004849,1006.925896,1006.833735,1006.728731,1006.611233,1006.481569,1006.340052,1006.18698,1006.022632,1005.847274,1005.66116,1005.464527,1005.257603,1005.040602,1004.813728,1004.577177,1004.331132,1004.07577,1003.811259
10,1007.95982,1007.981767,1007.987486,1007.977491,1007.952273,1007.912296,1007.858007,1007.789828,1007.70816,1007.613386,1007.505867,1007.385948,1007.253954,1007.110196,1006.954966,1006.788541,1006.611185,1006.423147,1006.224662,1006.015956,1005.797239,1005.568715,1005.330575,1005.083001,1004.826168,1004.560244
11,1008.766624,1008.785046,1008.787372,1008.774112,1008.745749,1008.702748,1008.645547,1008.574565,1008.4902,1008.39283,1008.282813,1008.16049,1008.026183,1007.880197,1007.722822,1007.554334,1007.374991,1007.18504,1006.984715,1006.774236,1006.553813,1006.323646,1006.083925,1005.834829,1005.576531,1005.309197
12,1009.573099,1009.588019,1009.586974,1009.570469,1009.538984,1009.492976,1009.432883,1009.359117,1009.272073,1009.172124,1009.059625,1008.934913,1008.798306,1008.650106,1008.490601,1008.320061,1008.138743,1007.94689,1007.744733,1007.532491,1007.310371,1007.078569,1006.837273,1006.586662,1006.326905,1006.058166
13,1010.379301,1010.39074,1010.386346,1010.366616,1010.332027,1010.283033,1010.220065,1010.143533,1010.053826,1009.951314,1009.836349,1009.709262,1009.570369,1009.419969,1009.258345,1009.085765,1008.902483,1008.708739,1008.504761,1008.290765,1008.066955,1007.833525,1007.590662,1007.338541,1007.07733,1006.807191
14,1011.185277,1011.193258,1011.185533,1011.162598,1011.124925,1011.072963,1011.007138,1010.927856,1010.835503,1010.730443,1010.613026,1010.483579,1010.342413,1010.189826,1010.026095,1009.851487,1009.666251,1009.470626,1009.264835,1009.049093,1008.823601,1008.588552,1008.344128,1008.090503,1007.827843,1007.556308
15,1011.991073,1011.995614,1011.984579,1011.958458,1011.917719,1011.862805,1011.79414,1011.712125,1011.61714,1011.509549,1011.389693,1011.257899,1011.114475,1010.959711,1010.793886,1010.61726,1010.430081,1010.232584,1010.02499,1009.80751,1009.580344,1009.343681,1009.097702,1008.842579,1008.578475,1008.305549
16,1012.796725,1012.797846,1012.78352,1012.754232,1012.710444,1012.652596,1012.581107,1012.496374,1012.398773,1012.288664,1012.166384,1012.032256,1011.886585,1011.729658,1011.561749,1011.383115,1011.194003,1010.994643,1010.785254,1010.566045,1010.337212,1010.098943,1009.851415,1009.594799,1009.329256,1009.054942
17,1013.602271,1013.599991,1013.582391,1013.549953,1013.503133,1013.442368,1013.368071,1013.280635,1013.180433,1013.067819,1012.943129,1012.80668,1012.658773,1012.499694,1012.329712,1012.149082,1011.958045,1011.756831,1011.545656,1011.324725,1011.094232,1010.854363,1010.605292,1010.347188,1010.080211,1009.804513
