-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,0.001805604,0.001744597,0.001686839,0.001632097,0.001580156,0.001530822,0.001483918,0.00143928,0.001396762,0.001356227,0.001317548,0.001280613,0.001245313,0.001211552,0.001179238,0.001148288,0.001118623,0.001090173,0.00106287,0.001036651,0.001011458,0.000987237,0.000963938,0.000941513,0.000919919,0.000899113
6,0.001808522,0.001747449,0.001689628,0.001634825,0.001582826,0.001533437,0.001486479,0.00144179,0.001399222,0.001358638,0.001319914,0.001282933,0.001247591,0.001213788,0.001181434,0.001150444,0.001120743,0.001092256,0.001064917,0.001038663,0.001013437,0.000989184,0.000965853,0.000943398,0.000921773,0.000900938
7,0.001811468,0.001750328,0.001692443,0.001637579,0.001585521,0.001536074,0.001489062,0.00144432,0.001401702,0.00136107,0.001322298,0.001285273,0.001249886,0.001216041,0.001183646,0.001152617,0.001122877,0.001094353,0.001066978,0.001040689,0.001015429,0.000991143,0.000967781,0.000945295,0.00092364,0.000902776
8,0.001814443,0.001753234,0.001695284,0.001640357,0.001588239,0.001538735,0.001491667,0.001446872,0.001404202,0.001363521,0.001324702,0.00128763,0.001252199,0.001218311,0.001185874,0.001154805,0.001125026,0.001096465,0.001069053,0.00104273,0.001017435,0.000993116,0.000969721,0.000947203,0.000925518,0.000904624
9,0.001817446,0.001756168,0.001698152,0.001643161,0.001590982,0.001541419,0.001494294,0.001449445,0.001406723,0.001365991,0.001327124,0.001290006,0.00125453,0.001220598,0.001188119,0.00115701,0.001127191,0.001098591,0.001071143,0.001044783,0.001019454,0.000995101,0.000971674,0.000949124,0.000927408,0.000906484
10,0.001820478,0.00175913,0.001701045,0.00164599,0.001593748,0.001544126,0.001496944,0.00145204,0.001409265,0.001368482,0.001329565,0.0012924,0.001256878,0.001222902,0.00119038,0.00115923,0.001129371,0.001100733,0.001073247,0.001046851,0.001021487,0.0009971,0.000973639,0.000951057,0.00092931,0.000908355
11,0.001823539,0.001762118,0.001703965,0.001648843,0.001596539,0.001546856,0.001499616,0.001454656,0.001411827,0.001370992,0.001332026,0.001294812,0.001259244,0.001225223,0.001192658,0.001161466,0.001131567,0.001102889,0.001075365,0.001048933,0.001023533,0.000999111,0.000975617,0.000953002,0.000931223,0.000910238
12,0.001826628,0.001765134,0.001706911,0.001651722,0.001599353,0.001549609,0.001502309,0.001457293,0.001414409,0.001373522,0.001334505,0.001297242,0.001261627,0.001227561,0.001194952,0.001163717,0.001133777,0.00110506,0.001077498,0.001051028,0.001025592,0.001001135,0.000977607,0.000954959,0.000933148,0.000912132
13,0.001829746,0.001768177,0.001709883,0.001654626,0.001602192,0.001552385,0.001505026,0.001459951,0.001417012,0.001376072,0.001337003,0.001299691,0.001264028,0.001229916,0.001197263,0.001165985,0.001136003,0.001107246,0.001079644,0.001053137,0.001027664,0.001003172,0.000979609,0.000956929,0.000935085,0.000914037
14,0.001832892,0.001771248,0.001712881,0.001657555,0.001605055,0.001555184,0.001507764,0.001462631,0.001419636,0.001378641,0.00133952,0.001302158,0.001266447,0.001232288,0.001199589,0.001168268,0.001138244,0.001109446,0.001081805,0.00105526,0.00102975,0.001005222,0.000981624,0.00095891,0.000937034,0.000915954
15,0.001836067,0.001774346,0.001715906,0.001660509,0.001607942,0.001558006,0.001510524,0.001465332,0.00142228,0.00138123,0.001342057,0.001304643,0.001268883,0.001234676,0.001201933,0.001170567,0.001140501,0.001111661,0.001083981,0.001057396,0.001031849,0.001007285,0.000983652,0.000960903,0.000938994,0.000917882
