-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,4174.091058,4173.261237,4172.449279,4171.655248,4170.879208,4170.121222,4169.381354,4168.659669,4167.95623,4167.271101,4166.604346,4165.956029,4165.326214,4164.714965,4164.122346,4163.54842,4162.993252,4162.456905,4161.939443,4161.440931,4160.961432,4160.50101,4160.059729,4159.637653,4159.234845,4158.851371
6,4167.59801,4166.820204,4166.0592,4165.31507,4164.587889,4163.87773,4163.184665,4162.508769,4161.850115,4161.208776,4160.584826,4159.978338,4159.389386,4158.818044,4158.264383,4157.728479,4157.210404,4156.710232,4156.228036,4155.76389,4155.317867,4154.890041,4154.480485,4154.089272,4153.716477,4153.362171
7,4161.129798,4160.403515,4159.692981,4158.998279,4158.319492,4157.656704,4157.009996,4156.379452,4155.765155,4155.167187,4154.585631,4154.020571,4153.472089,4152.940267,4152.42519,4151.926939,4151.445598,4150.98125,4150.533976,4150.103862,4149.690988,4149.295438,4148.917295,4148.556642,4148.213561,4147.888136
8,4154.686422,4154.011169,4153.350622,4152.704874,4152.074017,4151.458145,4150.857347,4150.271718,4149.701349,4149.146333,4148.606761,4148.082726,4147.574321,4147.081636,4146.604766,4146.143801,4145.698834,4145.269958,4144.857264,4144.460845,4144.080793,4143.7172,4143.370159,4143.039762,4142.7261,4142.429267
9,4148.267883,4147.643166,4147.032123,4146.434855,4145.851464,4145.282052,4144.726719,4144.185567,4143.658699,4143.146215,4142.648216,4142.164805,4141.696083,4141.242151,4140.803111,4140.379064,4139.970112,4139.576357,4139.197899,4138.834841,4138.487283,4138.155328,4137.839077,4137.538631,4137.254092,4136.985561
10,4141.874179,4141.299507,4140.737484,4140.188222,4139.651832,4139.128425,4138.61811,4138.120999,4137.637203,4137.166832,4136.709996,4136.266807,4135.837375,4135.421811,4135.020225,4134.632729,4134.259432,4133.900446,4133.555882,4133.225849,4132.910459,4132.609822,4132.324049,4132.053251,4131.797538,4131.557021
11,4135.505312,4134.980191,4134.466705,4133.964976,4133.475123,4132.997265,4132.531522,4132.078015,4131.636862,4131.208184,4130.792101,4130.388732,4129.998197,4129.620616,4129.256109,4128.904795,4128.566794,4128.242226,4127.931211,4127.633869,4127.350319,4127.080681,4126.825075,4126.58362,4126.356437,4126.143645
12,4129.161281,4128.685218,4128.219787,4127.765116,4127.321334,4126.888571,4126.466954,4126.056613,4125.657676,4125.270273,4124.894531,4124.530581,4124.17855,4123.838567,4123.510762,4123.195262,4122.892198,4122.601697,4122.323888,4122.058901,4121.806864,4121.567905,4121.342154,4121.12974,4120.93079,4120.745435
13,4122.842087,4122.414589,4121.996729,4121.588642,4121.190468,4120.802343,4120.424406,4120.056794,4119.699645,4119.353096,4119.017286,4118.692352,4118.378432,4118.075663,4117.784184,4117.504131,4117.235643,4116.978858,4116.733913,4116.500945,4116.280094,4116.071495,4115.875288,4115.691609,4115.520597,4115.362389
14,4116.547728,4116.168304,4115.79753,4115.435555,4115.082523,4114.738582,4114.403878,4114.078558,4113.762768,4113.456655,4113.160366,4112.874047,4112.597844,4112.331905,4112.076375,4111.831402,4111.597131,4111.37371,4111.161285,4110.960002,4110.770008,4110.591451,4110.424475,4110.269228,4110.125857,4109.994508
15,4110.278205,4109.946361,4109.622192,4109.305853,4108.9975,4108.697287,4108.40537,4108.121905,4107.847047,4107.58095,4107.323771,4107.075665,4106.836787,4106.607292,4106.387335,4106.177073,4105.97666,4105.786252,4105.606004,4105.436071,4105.276608,4105.127772,4104.989716,4104.862598,4104.746571,4104.641791
16,4104.033519,4103.748763,4103.470714,4103.199538,4102.935398,4102.678458,4102.428883,4102.186835,4101.95248,4101.72598,4101.507501,4101.297206,4101.095259,4100.901824,4100.717065,4100.541146,4100.374232,4100.216485,4100.06807,4099.929152,4099.799893,4099.680458,4099.571012,4099.471717,4099.382738,4099.30424
17,4097.813669,4097.575507,4097.343097,4097.116609,4096.896219,4096.682096,4096.474415,4096.273348,4096.079068,4095.891746,4095.711556,4095.538671,4095.373262,4095.215502,4095.065564,4094.923621,4094.789845,4094.664408,4094.547484,4094.439245,4094.339863,4094.24951,4094.168361,4094.096586,4094.03436,4093.981853
18,4091.618655,4091.426595,4091.239339,4091.057067,4090.87996,4090.708201,4090.541968,4090.381444,4090.226811,4090.078248,4089.935936,4089.800058,4089.670794,4089.548325,4089.432832,4089.324497,4089.2235,4089.130022,4089.044245,4088.96635,4088.896517,4088.834928,4088.781764,4088.737206,4088.701434,4088.674631
19,4085.448477,4085.302027,4085.159441,4085.020911,4084.886624,4084.756771,4084.631541,4084.511124,4084.395708,4084.285484,4084.180641,4084.081369,4083.987857,4083.900294,4083.81887,4083.743774,4083.675197,4083.613327,4083.558354,4083.510467,4083.469857,4083.436711,4083.411221,4083.393575,4083.383963,4083.382574
20,4079.303135,4079.201802,4079.103404,4079.008141,4078.91621,4078.827808,4078.743134,4078.662386,4078.585761,4078.513457,4078.445671,4078.382603,4078.324449,4078.271408,4078.223677,4078.181453,4078.144936,4078.114322,4078.08981,4078.071597,4078.059881,4078.05486,4078.056732,4078.065694,4078.081945,4078.105682
21,4073.18263,4073.12592,4073.071227,4073.018757,4072.968717,4072.921311,4072.876747,4072.835231,4072.796968,4072.762164,4072.731027,4072.70376,4072.680572,4072.661667,4072.647252,4072.637534,4072.632717,4072.633008,4072.638613,4072.649738,4072.66659,4072.689374,4072.718296,4072.753563,4072.795381,4072.843954
22,4067.086961,4067.074382,4067.06291,4067.05276,4067.044145,4067.037281,4067.032381,4067.029659,4067.02933,4067.031608,4067.036707,4067.044841,4067.056225,4067.071072,4067.089598,4067.112015,4067.138539,4067.169384,4067.204764,4067.244892,4067.289984,4067.340254,4067.395915,4067.457182,4067.52427,4067.597392
23,4061.016127,4061.047187,4061.078453,4061.110149,4061.142496,4061.175717,4061.210034,4061.24567,4061.282847,4061.321787,4061.362712,4061.405845,4061.451407,4061.499622,4061.550712,4061.604898,4061.662404,4061.723451,4061.788262,4061.857058,4061.930063,4062.007499,4062.089588,4062.176551,4062.268613,4062.365994
24,4054.97013,4055.044335,4055.117856,4055.190924,4055.263768,4055.336619,4055.409708,4055.483264,4055.557519,4055.632701,4055.709042,4055.786771,4055.86612,4055.947318,4056.030596,4056.116183,4056.20431,4056.295208,4056.389107,4056.486237,4056.586828,4056.69111,4056.799314,4056.911671,4057.028409,4057.149761
25,4048.948969,4049.065827,4049.181119,4049.295085,4049.407962,4049.519988,4049.631402,4049.742441,4049.853345,4049.964351,4050.075697,4050.187622,4050.300363,4050.414159,4050.529248,4050.645869,4050.764259,4050.884656,4051.0073,4051.132427,4051.260276,4051.391086,4051.525095,4051.66254,4051.803659,4051.948692
26,4042.952645,4043.111662,4043.268243,4043.422633,4043.575077,4043.725823,4043.875116,4044.023202,4044.170326,4044.316736,4044.462677,4044.608395,4044.754136,4044.900146,4045.04667,4045.193956,4045.342249,4045.491795,4045.64284,4045.79563,4045.95041,4046.107428,4046.266929,4046.429159,4046.594363,4046.762789
27,4036.981156,4037.181841,4037.379227,4037.573567,4037.765115,4037.954124,4038.14085,4038.325545,4038.508463,4038.689857,4038.869982,4039.049091,4039.227439,4039.405277,4039.582862,4039.760445,4039.938281,4040.116624,4040.295727,4040.475844,4040.657229,4040.840136,4041.024817,4041.211528,4041.400521,4041.59205
28,4031.034504,4031.276363,4031.51407,4031.747887,4031.978074,4032.204892,4032.428604,4032.649471,4032.867754,4033.083714,4033.297612,4033.509711,4033.720272,4033.929555,4034.137822,4034.345335,4034.552355,4034.759144,4034.965962,4035.173071,4035.380733,4035.589208,4035.798759,4036.009647,4036.222132,4036.436476
29,4025.112688,4025.395229,4025.672774,4025.945593,4026.213954,4026.478126,4026.738379,4026.99498,4027.248199,4027.498305,4027.745567,4027.990254,4028.232634,4028.472977,4028.711552,4028.948627,4029.184471,4029.419354,4029.653544,4029.88731,4030.120921,4030.354647,4030.588755,4030.823515,4031.059197,4031.296067
30,4019.215708,4019.538438,4019.855338,4020.166686,4020.472757,4020.773827,4021.070173,4021.362072,4021.6498,4021.933633,4022.213848,4022.49072,4022.764527,4023.035546,4023.304051,4023.57032,4023.834629,4024.097255,4024.358473,4024.618561,4024.877795,4025.136451,4025.394805,4025.653134,4025.911715,4026.170823
,,,,,,,,,,,,,,,,,,,,,,,,,,
Salinity (g kg-1),,,,,,,,,,,,,,,,,,,,,,,,,,
