-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,0.570709017,0.572417659,0.574114586,0.575799796,0.577473291,0.57913507,0.580785134,0.582423481,0.584050113,0.585665029,0.58726823,0.588859714,0.590439483,0.592007536,0.593563874,0.595108495,0.596641401,0.598162591,0.599672066,0.601169824,0.602655867,0.604130194,0.605592806,0.607043701,0.608482881,0.609910345
6,0.570543282,0.572251924,0.573948851,0.575634061,0.577307556,0.578969335,0.580619399,0.582257746,0.583884378,0.585499294,0.587102495,0.588693979,0.590273748,0.591841801,0.593398139,0.59494276,0.596475666,0.597996856,0.599506331,0.601004089,0.602490132,0.603964459,0.605427071,0.606877966,0.608317146,0.60974461
7,0.570377547,0.572086189,0.573783116,0.575468326,0.577141821,0.5788036,0.580453664,0.582092011,0.583718643,0.585333559,0.58693676,0.588528244,0.590108013,0.591676066,0.593232404,0.594777025,0.596309931,0.597831121,0.599340596,0.600838354,0.602324397,0.603798724,0.605261336,0.606712231,0.608151411,0.609578875
8,0.570211812,0.571920454,0.573617381,0.575302591,0.576976086,0.578637865,0.580287929,0.581926276,0.583552908,0.585167824,0.586771025,0.588362509,0.589942278,0.591510331,0.593066669,0.59461129,0.596144196,0.597665386,0.599174861,0.600672619,0.602158662,0.603632989,0.605095601,0.606546496,0.607985676,0.60941314
9,0.570046077,0.571754719,0.573451646,0.575136856,0.576810351,0.57847213,0.580122194,0.581760541,0.583387173,0.585002089,0.58660529,0.588196774,0.589776543,0.591344596,0.592900934,0.594445555,0.595978461,0.597499651,0.599009126,0.600506884,0.601992927,0.603467254,0.604929866,0.606380761,0.607819941,0.609247405
10,0.569880342,0.571588984,0.573285911,0.574971121,0.576644616,0.578306395,0.579956459,0.581594806,0.583221438,0.584836354,0.586439555,0.588031039,0.589610808,0.591178861,0.592735199,0.59427982,0.595812726,0.597333916,0.598843391,0.600341149,0.601827192,0.603301519,0.604764131,0.606215026,0.607654206,0.60908167
11,0.569714607,0.571423249,0.573120176,0.574805386,0.576478881,0.57814066,0.579790724,0.581429071,0.583055703,0.584670619,0.58627382,0.587865304,0.589445073,0.591013126,0.592569464,0.594114085,0.595646991,0.597168181,0.598677656,0.600175414,0.601661457,0.603135784,0.604598396,0.606049291,0.607488471,0.608915935
12,0.569548872,0.571257514,0.572954441,0.574639651,0.576313146,0.577974925,0.579624989,0.581263336,0.582889968,0.584504884,0.586108085,0.587699569,0.589279338,0.590847391,0.592403729,0.59394835,0.595481256,0.597002446,0.598511921,0.600009679,0.601495722,0.602970049,0.604432661,0.605883556,0.607322736,0.6087502
13,0.569383137,0.571091779,0.572788706,0.574473916,0.576147411,0.57780919,0.579459254,0.581097601,0.582724233,0.584339149,0.58594235,0.587533834,0.589113603,0.590681656,0.592237994,0.593782615,0.595315521,0.596836711,0.598346186,0.599843944,0.601329987,0.602804314,0.604266926,0.605717821,0.607157001,0.608584465
14,0.569217402,0.570926044,0.572622971,0.574308181,0.575981676,0.577643455,0.579293519,0.580931866,0.582558498,0.584173414,0.585776615,0.587368099,0.588947868,0.590515921,0.592072259,0.59361688,0.595149786,0.596670976,0.598180451,0.599678209,0.601164252,0.602638579,0.604101191,0.605552086,0.606991266,0.60841873
15,0.569051667,0.570760309,0.572457236,0.574142446,0.575815941,0.57747772,0.579127784,0.580766131,0.582392763,0.584007679,0.58561088,0.587202364,0.588782133,0.590350186,0.591906524,0.593451145,0.594984051,0.596505241,0.598014716,0.599512474,0.600998517,0.602472844,0.603935456,0.605386351,0.606825531,0.608252995
16,0.568885932,0.570594574,0.572291501,0.573976711,0.575650206,0.577311985,0.578962049,0.580600396,0.582227028,0.583841944,0.585445145,0.587036629,0.588616398,0.590184451,0.591740789,0.59328541,0.594818316,0.596339506,0.597848981,0.599346739,0.600832782,0.602307109,0.603769721,0.605220616,0.606659796,0.60808726
17,0.568720197,0.570428839,0.572125766,0.573810976,0.575484471,0.57714625,0.578796314,0.580434661,0.582061293,0.583676209,0.58527941,0.586870894,0.588450663,0.590018716,0.591575054,0.593119675,0.594652581,0.596173771,0.597683246,0.599181004,0.600667047,0.602141374,0.603603986,0.605054881,0.606494061,0.607921525
18,0.568554462,0.570263104,0.571960031,0.573645241,0.575318736,0.576980515,0.578630579,0.580268926,0.581895558,0.583510474,0.585113675,0.586705159,0.588284928,0.589852981,0.591409319,0.59295394,0.594486846,0.596008036,0.597517511,0.599015269,0.600501312,0.601975639,0.603438251,0.604889146,0.606328326,0.60775579
19,0.568388727,0.570097369,0.571794296,0.573479506,0.575153001,0.57681478,0.578464844,0.580103191,0.581729823,0.583344739,0.58494794,0.586539424,0.588119193,0.589687246,0.591243584,0.592788205,0.594321111,0.595842301,0.597351776,0.598849534,0.600335577,0.601809904,0.603272516,0.604723411,0.606162591,0.607590055
20,0.568222992,0.569931634,0.571628561,0.573313771,0.574987266,0.576649045,0.578299109,0.579937456,0.581564088,0.583179004,0.584782205,0.586373689,0.587953458,0.589521511,0.591077849,0.59262247,0.594155376,0.595676566,0.597186041,0.598683799,0.600169842,0.601644169,0.603106781,0.604557676,0.605996856,0.60742432
21,0.568057257,0.569765899,0.571462826,0.573148036,0.574821531,0.57648331,0.578133374,0.579771721,0.581398353,0.583013269,0.58461647,0.586207954,0.587787723,0.589355776,0.590912114,0.592456735,0.593989641,0.595510831,0.597020306,0.598518064,0.600004107,0.601478434,0.602941046,0.604391941,0.605831121,0.607258585
22,0.567891522,0.569600164,0.571297091,0.572982301,0.574655796,0.576317575,0.577967639,0.579605986,0.581232618,0.582847534,0.584450735,0.586042219,0.587621988,0.589190041,0.590746379,0.592291,0.593823906,0.595345096,0.596854571,0.598352329,0.599838372,0.601312699,0.602775311,0.604226206,0.605665386,0.60709285
23,0.567725787,0.569434429,0.571131356,0.572816566,0.574490061,0.57615184,0.577801904,0.579440251,0.581066883,0.582681799,0.584285,0.585876484,0.587456253,0.589024306,0.590580644,0.592125265,0.593658171,0.595179361,0.596688836,0.598186594,0.599672637,0.601146964,0.602609576,0.604060471,0.605499651,0.606927115
24,0.567560052,0.569268694,0.570965621,0.572650831,0.574324326,0.575986105,0.577636169,0.579274516,0.580901148,0.582516064,0.584119265,0.585710749,0.587290518,0.588858571,0.590414909,0.59195953,0.593492436,0.595013626,0.596523101,0.598020859,0.599506902,0.600981229,0.602443841,0.603894736,0.605333916,0.60676138
25,0.567394317,0.569102959,0.570799886,0.572485096,0.574158591,0.57582037,0.577470434,0.579108781,0.580735413,0.582350329,0.58395353,0.585545014,0.587124783,0.588692836,0.590249174,0.591793795,0.593326701,0.594847891,0.596357366,0.597855124,0.599341167,0.600815494,0.602278106,0.603729001,0.605168181,0.606595645
26,0.567228582,0.568937224,0.570634151,0.572319361,0.573992856,0.575654635,0.577304699,0.578943046,0.580569678,0.582184594,0.583787795,0.585379279,0.586959048,0.588527101,0.590083439,0.59162806,0.593160966,0.594682156,0.596191631,0.597689389,0.599175432,0.600649759,0.602112371,0.603563266,0.605002446,0.60642991
27,0.567062847,0.568771489,0.570468416,0.572153626,0.573827121,0.5754889,0.577138964,0.578777311,0.580403943,0.582018859,0.58362206,0.585213544,0.586793313,0.588361366,0.589917704,0.591462325,0.592995231,0.594516421,0.596025896,0.597523654,0.599009697,0.600484024,0.601946636,0.603397531,0.604836711,0.606264175
28,0.566897112,0.568605754,0.570302681,0.571987891,0.573661386,0.575323165,0.576973229,0.578611576,0.580238208,0.581853124,0.583456325,0.585047809,0.586627578,0.588195631,0.589751969,0.59129659,0.592829496,0.594350686,0.595860161,0.597357919,0.598843962,0.600318289,0.601780901,0.603231796,0.604670976,0.60609844
29,0.566731377,0.568440019,0.570136946,0.571822156,0.573495651,0.57515743,0.576807494,0.578445841,0.580072473,0.581687389,0.58329059,0.584882074,0.586461843,0.588029896,0.589586234,0.591130855,0.592663761,0.594184951,0.595694426,0.597192184,0.598678227,0.600152554,0.601615166,0.603066061,0.604505241,0.605932705
30,0.566565642,0.568274284,0.569971211,0.571656421,0.573329916,0.574991695,0.576641759,0.578280106,0.579906738,0.581521654,0.583124855,0.584716339,0.586296108,0.587864161,0.589420499,0.59096512,0.592498026,0.594019216,0.595528691,0.597026449,0.598512492,0.599986819,0.601449431,0.602900326,0.604339506,0.60576697
