id	speed	impact
gb1	31.95947105	1.99746694
gb3	25.26019539	1.578762212
gb5	27.46091225	1.716307016
gb7	30.06234521	1.878896575
gb9	27.7149268	1.732182925
gb11	24.66649301	1.541655813
gb13	31.75160501	1.984475313
gb15	30.91226084	1.932016302
gb17	29.5773026	1.848581413
gb19	30.49173887	1.90573368
gb21	26.32915444	1.645572152
gb23	31.16173506	1.947608441
gb25	28.13595629	1.758497268
gb27	40.11845443	2.507403402
gb29	41.1472284	2.571701775
gb31	35.0003041	2.187519006
gb33	27.04982718	1.690614199
gb35	32.11357846	2.007098654
gb37	32.35817163	2.022385727
gb39	30.33095024	1.89568439
gb41	31.63529984	1.97720624
gb43	35.03038555	2.189399097
gb45	31.28528079	1.955330049
gb47	23.39105739	1.461941087
gb49	30.00024925	1.875015578
