id	speed	impact
gb1	31.95947105	7.989867762
gb2	23.74660547	5.936651366
gb3	25.26019539	6.315048847
gb4	26.29446953	6.573617383
gb5	27.46091225	6.865228062
gb6	28.39712247	7.099280617
gb7	30.06234521	7.515586302
gb8	14.85411329	3.713528323
gb9	27.7149268	6.928731699
gb10	36.21224203	9.053060508
gb11	24.66649301	6.166623251
gb12	34.66864081	8.667160203
gb13	31.75160501	7.937901252
gb14	29.85497118	7.463742795
gb15	30.91226084	7.728065209
gb16	22.17471993	5.543679982
gb17	29.5773026	7.39432565
gb18	38.01973175	9.504932938
gb19	30.49173887	7.622934718
gb20	30.20686807	7.551717017
gb21	26.32915444	6.582288609
gb22	29.84593135	7.461482837
gb23	31.16173506	7.790433766
gb24	32.13193779	8.032984447
gb25	28.13595629	7.033989073
gb26	28.81772708	7.20443177
gb27	40.11845443	10.02961361
gb28	18.70823015	4.677057537
gb29	41.1472284	10.2868071
gb30	31.6878185	7.921954626
gb31	35.0003041	8.750076024
gb32	21.67917763	5.419794406
gb33	27.04982718	6.762456795
gb34	28.60967918	7.152419795
gb35	32.11357846	8.028394614
gb36	21.64899651	5.412249128
gb37	32.35817163	8.089542908
gb38	23.935764	5.983941
gb39	30.33095024	7.582737561
gb40	33.26177944	8.315444861
gb41	31.63529984	7.908824959
gb42	35.41316752	8.85329188
gb43	35.03038555	8.757596389
gb44	26.74546132	6.686365329
gb45	31.28528079	7.821320197
gb46	25.27811097	6.319527742
gb47	23.39105739	5.847764348
gb48	34.62412967	8.656032417
gb49	30.00024925	7.500062311
gb50	29.72540543	7.431351357
