id	speed	impact
gb1	31.95947105	3.994933881
gb2	23.74660547	2.968325683
gb3	25.26019539	3.157524424
gb4	26.29446953	3.286808691
gb5	27.46091225	3.432614031
gb6	28.39712247	3.549640308
gb7	30.06234521	3.757793151
gb8	14.85411329	1.856764162
gb9	27.7149268	3.464365849
gb10	36.21224203	4.526530254
gb11	24.66649301	3.083311626
gb12	34.66864081	4.333580102
gb13	31.75160501	3.968950626
gb14	29.85497118	3.731871398
gb15	30.91226084	3.864032605
gb16	22.17471993	2.771839991
gb17	29.5773026	3.697162825
gb18	38.01973175	4.752466469
gb19	30.49173887	3.811467359
gb20	30.20686807	3.775858508
gb21	26.32915444	3.291144305
gb22	29.84593135	3.730741419
gb23	31.16173506	3.895216883
gb24	32.13193779	4.016492223
gb25	28.13595629	3.516994536
gb26	28.81772708	3.602215885
gb27	40.11845443	5.014806804
gb28	18.70823015	2.338528768
gb29	41.1472284	5.14340355
gb30	31.6878185	3.960977313
gb31	35.0003041	4.375038012
gb32	21.67917763	2.709897203
gb33	27.04982718	3.381228397
gb34	28.60967918	3.576209898
gb35	32.11357846	4.014197307
gb36	21.64899651	2.706124564
gb37	32.35817163	4.044771454
gb38	23.935764	2.9919705
gb39	30.33095024	3.79136878
gb40	33.26177944	4.15772243
gb41	31.63529984	3.954412479
gb42	35.41316752	4.42664594
gb43	35.03038555	4.378798194
gb44	26.74546132	3.343182665
gb45	31.28528079	3.910660098
gb46	25.27811097	3.159763871
gb47	23.39105739	2.923882174
gb48	34.62412967	4.328016208
gb49	30.00024925	3.750031156
gb50	29.72540543	3.715675678
