id	speed	impact
kat1	32.60030051	2.037518782
kat3	29.82614457	1.864134036
kat5	35.09342641	2.193339151
kat7	26.42734918	1.651709324
kat9	28.87614472	1.804759045
kat11	28.53123201	1.783202001
kat13	24.39935849	1.524959906
kat15	38.27748796	2.392342998
kat17	23.7144082	1.482150513
kat19	29.11732943	1.819833089
kat21	23.33997789	1.458748618
kat23	22.75451354	1.422157096
kat25	31.95676802	1.997298001
kat27	29.34857673	1.834286046
kat29	27.61923492	1.726202182
kat31	23.19152765	1.449470478
kat33	25.7564531	1.609778319
kat35	32.76391673	2.047744796
kat37	24.41180658	1.525737911
kat39	33.30071571	2.081294732
kat41	29.02389401	1.813993376
kat43	28.48446189	1.780278868
kat45	30.25645178	1.891028236
kat47	37.63488343	2.352180215
kat49	28.95143331	1.809464582
kat51	30.91613632	1.93225852
kat53	34.74610916	2.171631822
kat55	30.67587471	1.917242169
kat57	31.30703162	1.956689476
kat59	29.18831164	1.824269477
kat61	27.33994312	1.708746445
kat63	25.62135327	1.601334579
kat65	26.43997725	1.652498578
kat67	29.03880241	1.814925151
kat69	37.65036257	2.353147661
kat71	24.67893294	1.542433308
kat73	36.17339573	2.260837233
kat75	22.46920148	1.404325093
kat77	29.22029482	1.826268426
kat79	28.69418177	1.793386361
