id	speed	impact
kat1	32.60030051	8.150075127
kat2	29.89986074	7.474965185
kat3	29.82614457	7.456536142
kat4	26.00918208	6.502295519
kat5	35.09342641	8.773356603
kat6	29.3339126	7.333478151
kat7	26.42734918	6.606837295
kat8	36.75692884	9.189232211
kat9	28.87614472	7.21903618
kat10	27.05485485	6.763713712
kat11	28.53123201	7.132808003
kat12	25.76036878	6.440092195
kat13	24.39935849	6.099839623
kat14	42.62999846	10.65749962
kat15	38.27748796	9.569371991
kat16	31.5376758	7.884418949
kat17	23.7144082	5.928602051
kat18	25.67265985	6.418164962
kat19	29.11732943	7.279332357
kat20	33.95708031	8.489270077
kat21	23.33997789	5.834994473
kat22	18.35066422	4.587666055
kat23	22.75451354	5.688628384
kat24	31.66755417	7.916888541
kat25	31.95676802	7.989192006
kat26	32.25839709	8.064599274
kat27	29.34857673	7.337144184
kat28	30.91844548	7.72961137
kat29	27.61923492	6.904808729
kat30	34.31010806	8.577527014
kat31	23.19152765	5.797881911
kat32	32.27514778	8.068786946
kat33	25.7564531	6.439113275
kat34	28.32556531	7.081391326
kat35	32.76391673	8.190979182
kat36	35.19545327	8.798863317
kat37	24.41180658	6.102951646
kat38	36.30329355	9.075823386
kat39	33.30071571	8.325178926
kat40	29.66067223	7.415168058
kat41	29.02389401	7.255973503
kat42	28.91196825	7.227992062
kat43	28.48446189	7.121115473
kat44	30.11522812	7.528807031
kat45	30.25645178	7.564112945
kat46	34.13031395	8.532578488
kat47	37.63488343	9.408720858
kat48	32.33457218	8.083643045
kat49	28.95143331	7.237858327
kat50	33.12595179	8.281487946
kat51	30.91613632	7.729034079
kat52	24.85116228	6.212790571
kat53	34.74610916	8.686527289
kat54	31.5353096	7.883827399
kat55	30.67587471	7.668968678
kat56	32.57623168	8.144057919
kat57	31.30703162	7.826757905
kat58	25.29257115	6.323142786
kat59	29.18831164	7.297077909
kat60	29.26972683	7.317431707
kat61	27.33994312	6.834985779
kat62	38.41051797	9.602629493
kat63	25.62135327	6.405338317
kat64	27.58092475	6.895231187
kat65	26.43997725	6.609994314
kat66	24.12893834	6.032234586
kat67	29.03880241	7.259700603
kat68	28.62964885	7.157412213
kat69	37.65036257	9.412590643
kat70	28.75487629	7.188719072
kat71	24.67893294	6.169733234
kat72	38.01728649	9.504321623
kat73	36.17339573	9.043348934
kat74	28.85186775	7.212966936
kat75	22.46920148	5.61730037
kat76	27.77686092	6.944215229
kat77	29.22029482	7.305073705
kat78	31.38034127	7.845085317
kat79	28.69418177	7.173545443
kat80	32.21710956	8.054277391
