id	speed	impact
kat1	32.60030051	4.075037563
kat2	29.89986074	3.737482593
kat3	29.82614457	3.728268071
kat4	26.00918208	3.25114776
kat5	35.09342641	4.386678301
kat6	29.3339126	3.666739075
kat7	26.42734918	3.303418648
kat8	36.75692884	4.594616105
kat9	28.87614472	3.60951809
kat10	27.05485485	3.381856856
kat11	28.53123201	3.566404001
kat12	25.76036878	3.220046098
kat13	24.39935849	3.049919812
kat14	42.62999846	5.328749808
kat15	38.27748796	4.784685996
kat16	31.5376758	3.942209475
kat17	23.7144082	2.964301025
kat18	25.67265985	3.209082481
kat19	29.11732943	3.639666179
kat20	33.95708031	4.244635039
kat21	23.33997789	2.917497237
kat22	18.35066422	2.293833028
kat23	22.75451354	2.844314192
kat24	31.66755417	3.958444271
kat25	31.95676802	3.994596003
kat26	32.25839709	4.032299637
kat27	29.34857673	3.668572092
kat28	30.91844548	3.864805685
kat29	27.61923492	3.452404365
kat30	34.31010806	4.288763507
kat31	23.19152765	2.898940956
kat32	32.27514778	4.034393473
kat33	25.7564531	3.219556638
kat34	28.32556531	3.540695663
kat35	32.76391673	4.095489591
kat36	35.19545327	4.399431658
kat37	24.41180658	3.051475823
kat38	36.30329355	4.537911693
kat39	33.30071571	4.162589463
kat40	29.66067223	3.707584029
kat41	29.02389401	3.627986751
kat42	28.91196825	3.613996031
kat43	28.48446189	3.560557737
kat44	30.11522812	3.764403515
kat45	30.25645178	3.782056472
kat46	34.13031395	4.266289244
kat47	37.63488343	4.704360429
kat48	32.33457218	4.041821522
kat49	28.95143331	3.618929164
kat50	33.12595179	4.140743973
kat51	30.91613632	3.864517039
kat52	24.85116228	3.106395285
kat53	34.74610916	4.343263644
kat54	31.5353096	3.941913699
kat55	30.67587471	3.834484339
kat56	32.57623168	4.07202896
kat57	31.30703162	3.913378953
kat58	25.29257115	3.161571393
kat59	29.18831164	3.648538954
kat60	29.26972683	3.658715854
kat61	27.33994312	3.417492889
kat62	38.41051797	4.801314747
kat63	25.62135327	3.202669159
kat64	27.58092475	3.447615594
kat65	26.43997725	3.304997157
kat66	24.12893834	3.016117293
kat67	29.03880241	3.629850302
kat68	28.62964885	3.578706106
kat69	37.65036257	4.706295322
kat70	28.75487629	3.594359536
kat71	24.67893294	3.084866617
kat72	38.01728649	4.752160811
kat73	36.17339573	4.521674467
kat74	28.85186775	3.606483468
kat75	22.46920148	2.808650185
kat76	27.77686092	3.472107615
kat77	29.22029482	3.652536853
kat78	31.38034127	3.922542659
kat79	28.69418177	3.586772721
kat80	32.21710956	4.027138696
