id	speed	impact
kat1	32.60030051	2.037518782
kat2	29.89986074	1.868741296
kat3	29.82614457	1.864134036
kat4	26.00918208	1.62557388
kat5	35.09342641	2.193339151
kat6	29.3339126	1.833369538
kat7	26.42734918	1.651709324
kat8	36.75692884	2.297308053
kat9	28.87614472	1.804759045
kat10	27.05485485	1.690928428
kat11	28.53123201	1.783202001
kat12	25.76036878	1.610023049
kat13	24.39935849	1.524959906
kat14	42.62999846	2.664374904
kat15	38.27748796	2.392342998
kat16	31.5376758	1.971104737
kat17	23.7144082	1.482150513
kat18	25.67265985	1.60454124
kat19	29.11732943	1.819833089
kat20	33.95708031	2.122317519
kat21	23.33997789	1.458748618
kat22	18.35066422	1.146916514
kat23	22.75451354	1.422157096
kat24	31.66755417	1.979222135
kat25	31.95676802	1.997298001
kat26	32.25839709	2.016149818
kat27	29.34857673	1.834286046
kat28	30.91844548	1.932402842
kat29	27.61923492	1.726202182
kat30	34.31010806	2.144381754
kat31	23.19152765	1.449470478
kat32	32.27514778	2.017196736
kat33	25.7564531	1.609778319
kat34	28.32556531	1.770347832
kat35	32.76391673	2.047744796
kat36	35.19545327	2.199715829
kat37	24.41180658	1.525737911
kat38	36.30329355	2.268955847
kat39	33.30071571	2.081294732
kat40	29.66067223	1.853792015
kat41	29.02389401	1.813993376
kat42	28.91196825	1.806998016
kat43	28.48446189	1.780278868
kat44	30.11522812	1.882201758
kat45	30.25645178	1.891028236
kat46	34.13031395	2.133144622
kat47	37.63488343	2.352180215
kat48	32.33457218	2.020910761
kat49	28.95143331	1.809464582
kat50	33.12595179	2.070371987
kat51	30.91613632	1.93225852
kat52	24.85116228	1.553197643
kat53	34.74610916	2.171631822
kat54	31.5353096	1.97095685
kat55	30.67587471	1.917242169
kat56	32.57623168	2.03601448
kat57	31.30703162	1.956689476
kat58	25.29257115	1.580785697
kat59	29.18831164	1.824269477
kat60	29.26972683	1.829357927
kat61	27.33994312	1.708746445
kat62	38.41051797	2.400657373
kat63	25.62135327	1.601334579
kat64	27.58092475	1.723807797
kat65	26.43997725	1.652498578
kat66	24.12893834	1.508058646
kat67	29.03880241	1.814925151
kat68	28.62964885	1.789353053
kat69	37.65036257	2.353147661
kat70	28.75487629	1.797179768
kat71	24.67893294	1.542433308
kat72	38.01728649	2.376080406
kat73	36.17339573	2.260837233
kat74	28.85186775	1.803241734
kat75	22.46920148	1.404325093
kat76	27.77686092	1.736053807
kat77	29.22029482	1.826268426
kat78	31.38034127	1.961271329
kat79	28.69418177	1.793386361
kat80	32.21710956	2.013569348
